,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
197,n,p,p,p,p,n,p,p,n,n,n,p,p,p,p,p,p,p,p,p,p,p,p,n,p,n,p,p,n,p
198,n,p,p,n,p,p,p,p,p,p,p,p,p,p,p,p,p,p,n,n,p,p,p,p,p,p,p,p,p,p
199,p,p,p,n,p,p,n,p,n,n,n,p,p,n,n,p,n,n,p,p,p,p,p,p,p,p,n,p,p,n
200,n,n,p,n,p,p,n,p,p,p,p,n,n,p,n,p,p,p,n,p,p,p,p,p,n,p,p,n,n,p
201,n,p,n,p,n,p,p,p,n,p,n,n,p,p,p,p,p,n,p,n,p,n,n,p,n,n,n,p,p,p
202,p,p,p,p,p,p,p,p,p,n,p,p,p,p,n,p,p,p,p,n,p,p,p,n,n,p,p,p,n,p
203,n,n,p,n,p,p,p,n,p,p,p,p,p,p,n,p,p,p,n,n,n,n,p,n,n,p,p,p,p,n
204,p,p,p,p,p,p,p,p,p,p,p,n,n,p,p,p,p,p,p,p,n,p,p,p,p,n,p,p,p,p
205,n,p,p,p,p,p,n,p,p,p,p,n,p,p,p,p,n,p,p,p,p,p,p,p,n,p,n,n,n,p
206,p,p,p,p,p,p,p,p,p,p,p,p,p,n,p,p,n,n,p,p,n,p,p,p,n,p,p,p,p,p
207,p,n,p,n,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,n,p,p,p,n,p,p,p
208,p,n,p,p,p,p,p,p,p,p,p,p,p,p,n,p,p,p,p,n,p,p,p,p,p,p,p,p,p,p
209,p,p,n,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p
210,p,n,p,p,n,p,p,p,p,p,p,n,n,p,p,p,p,n,p,n,n,p,p,n,p,p,p,p,p,p
211,p,p,p,p,p,p,p,p,p,p,n,p,p,p,p,p,n,p,p,p,p,p,p,p,n,p,n,p,n,p
212,p,p,p,p,p,p,p,n,p,p,p,p,p,p,p,p,p,p,p,p,p,p,n,p,p,p,p,p,p,p
213,p,p,p,n,p,p,p,p,p,p,p,p,p,n,p,p,p,n,p,p,p,p,p,p,p,p,p,p,p,p
214,p,p,n,p,p,n,p,p,p,p,p,p,p,p,p,p,p,p,n,n,p,n,p,p,p,p,p,p,p,p
215,p,p,n,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p
216,n,n,p,n,n,p,n,n,p,n,p,n,n,n,p,p,p,p,n,p,p,p,n,p,p,n,n,p,p,p
217,p,n,p,n,p,p,p,p,p,p,p,n,p,p,p,p,p,p,p,p,n,p,p,p,p,p,p,n,n,p
218,p,p,n,p,p,p,p,p,p,n,p,n,p,p,p,p,p,p,p,n,p,p,p,n,n,p,p,p,p,p
219,p,p,p,p,p,p,p,p,p,p,p,p,p,n,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p
220,p,p,p,p,p,p,n,p,p,p,p,n,p,p,p,p,p,p,p,p,n,p,p,n,n,n,p,p,p,p
221,p,n,p,p,p,p,p,p,n,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p
222,p,p,n,n,n,p,p,p,p,p,p,n,p,p,p,n,p,p,p,p,p,p,p,p,p,p,p,p,p,p
223,p,p,p,p,p,n,p,p,p,n,p,p,p,p,p,p,p,p,p,n,p,n,n,n,p,p,n,p,p,p
224,p,p,p,p,p,p,p,p,n,n,n,p,p,n,p,p,n,p,p,p,p,p,n,p,n,p,n,n,p,p
225,p,p,p,p,p,p,p,p,p,p,n,p,p,p,p,p,p,p,p,n,p,p,p,p,p,p,p,p,p,p
226,p,p,p,p,p,p,p,p,p,p,p,p,n,p,p,p,p,p,p,p,n,p,p,p,p,p,n,p,p,p
227,p,p,p,p,n,p,p,n,p,n,n,p,p,n,p,p,p,p,p,p,p,p,n,p,p,p,p,p,p,p
228,p,p,p,n,p,p,p,p,p,p,p,p,n,p,p,n,p,n,p,p,p,p,p,p,p,p,n,p,p,p
229,p,p,p,n,n,p,p,p,n,p,p,n,p,n,p,p,p,p,p,p,p,n,n,p,n,p,p,p,p,p
230,p,p,n,n,p,n,p,p,n,n,p,n,p,p,p,p,p,p,p,p,p,n,p,p,p,p,p,n,n,p
231,p,p,p,p,p,p,p,p,p,p,p,p,p,p,n,p,p,p,p,p,p,p,p,p,p,p,n,p,p,p
232,n,p,p,p,p,p,n,p,p,n,n,p,p,p,p,p,p,p,p,n,p,p,n,p,p,p,p,p,p,p
233,p,p,p,n,p,n,p,p,p,p,n,p,p,n,p,p,p,n,p,n,p,p,p,p,p,p,p,p,p,p
234,p,p,n,p,p,p,p,n,n,n,p,n,p,p,p,p,p,n,p,p,n,p,p,n,n,p,p,n,n,p
235,p,p,p,p,p,p,p,p,p,p,p,p,n,p,p,p,p,p,p,p,p,n,n,p,p,p,p,p,p,p
236,p,p,p,n,n,n,p,p,n,p,p,n,p,p,p,p,p,n,p,p,p,p,p,p,p,n,p,p,p,p
237,p,p,p,p,p,p,p,p,p,n,p,p,p,p,p,p,n,n,p,p,p,p,p,p,p,p,n,p,p,p
238,p,p,p,n,n,p,p,p,p,n,p,p,p,p,p,p,p,p,p,p,p,p,n,p,n,p,n,p,p,n
239,p,n,n,n,p,p,p,p,p,p,n,p,p,p,p,p,p,n,n,p,p,p,p,p,p,p,p,p,p,p
240,p,n,p,n,p,n,p,p,p,p,p,n,n,p,p,p,p,p,p,p,p,p,p,n,p,p,p,p,p,n
241,p,n,n,n,p,p,p,n,p,p,p,p,p,p,p,p,p,n,p,p,p,p,p,p,p,n,n,p,p,p
242,n,n,n,n,n,p,p,n,n,n,n,p,n,n,n,n,n,p,p,p,n,p,p,n,n,n,n,n,p,p
243,p,p,p,p,p,p,p,n,p,p,n,n,n,p,p,n,p,p,p,n,n,p,n,n,p,n,n,n,p,p
244,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,n
245,p,p,p,p,p,p,p,p,p,p,p,p,p,p,n,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p
246,p,n,p,p,p,n,p,p,p,n,p,n,p,p,p,p,p,p,p,p,p,p,p,p,n,p,p,p,n,p
247,p,p,p,p,p,p,p,p,p,p,p,p,p,n,p,p,p,p,p,p,p,p,p,n,n,p,p,p,p,p
248,n,n,p,n,p,p,n,p,p,p,p,n,n,n,p,p,n,n,p,p,p,p,n,p,n,n,p,p,p,p
249,p,n,p,p,p,p,p,p,p,p,n,p,p,p,n,p,p,n,p,p,p,p,p,n,p,p,p,p,p,p
250,p,p,p,p,p,p,n,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p
251,p,p,p,p,p,p,p,p,p,p,p,p,n,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p
252,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,n,p,p,p,p,p,p,p,p,p
253,p,p,p,p,p,p,p,p,n,p,n,n,n,n,p,p,p,p,p,p,p,p,p,n,p,n,p,n,p,p
254,p,p,p,p,n,p,n,p,n,p,p,p,p,p,n,n,p,p,n,n,p,n,n,p,n,p,p,n,n,n
255,p,p,n,p,p,p,n,p,p,p,p,p,p,n,p,p,p,p,p,p,p,n,p,p,p,n,p,p,p,n
256,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,n,p,p,p,p,p,p,p,p,p,p,n,p,n,p
257,n,n,p,n,n,p,p,n,p,p,p,p,n,n,n,n,p,n,p,p,p,p,p,p,p,n,p,p,p,n
258,p,p,p,p,p,p,p,p,p,p,p,p,n,p,p,p,p,p,p,p,n,p,p,p,p,p,p,p,p,p
259,p,p,p,p,p,p,p,n,p,n,n,p,p,p,p,p,p,n,p,n,n,p,p,p,n,p,p,n,n,n
260,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,n,p,n,p,p,p,p,n,p,p,p,p,p,p,n
261,n,p,p,n,p,n,p,n,p,p,p,p,n,p,n,p,p,p,p,n,p,p,p,p,n,p,n,n,p,p
262,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,n,p,n,p,p,p,p,p,p,p,p,p,p,p,n
263,n,p,p,p,p,p,p,n,p,p,n,n,p,n,p,p,p,n,p,p,p,p,p,p,p,n,p,p,p,p
264,n,p,p,n,p,n,p,n,n,p,p,n,p,n,n,p,p,n,p,p,p,p,n,p,p,p,p,n,p,p
265,n,n,p,n,n,p,n,p,p,p,n,p,n,n,n,p,p,p,p,n,p,n,n,n,p,n,n,n,n,n
266,p,p,p,p,p,p,p,n,p,p,p,p,p,n,p,p,n,p,p,p,p,p,p,p,p,p,p,n,n,p
267,p,p,n,p,p,p,p,p,p,p,n,p,p,p,p,p,p,n,p,p,n,p,p,p,p,p,p,p,p,p
268,n,p,p,p,n,p,n,p,p,p,n,p,p,p,n,p,p,p,n,n,p,p,p,p,n,p,p,p,p,n
269,n,p,n,p,p,n,n,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,n,p,p,p,p,n,p
270,p,n,p,p,p,p,n,n,p,n,n,p,n,p,n,n,p,n,p,p,p,p,n,p,p,p,n,p,p,p
271,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,n,p,p,p,p,p,p,p,p,p
272,p,p,p,p,n,p,p,p,p,p,p,p,p,n,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p
273,p,p,n,p,p,p,p,p,n,p,n,n,p,p,p,n,p,p,p,p,p,n,p,p,n,p,p,p,p,p
274,p,p,p,p,n,p,n,p,p,p,p,n,p,p,n,p,p,p,p,p,p,p,n,n,p,p,p,p,p,p
275,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,n,p,p,p,p,p,p,p,p,p,p
276,p,p,n,p,p,p,p,p,p,p,n,p,p,p,p,p,p,n,p,n,n,p,p,p,n,p,p,n,n,p
277,n,n,p,p,n,p,p,p,p,n,p,p,p,n,p,n,p,p,p,p,p,p,p,n,p,p,p,p,n,n
278,p,p,p,p,p,p,p,p,p,n,p,n,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,n
279,p,p,p,p,p,n,p,p,p,p,p,p,p,p,p,p,p,p,p,p,n,p,p,p,p,p,p,p,p,p
280,p,n,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,n,p,p,p,p,p,p,p,p,p,n,p,p
281,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p
282,p,p,p,p,p,p,n,p,p,p,p,n,p,p,n,p,p,p,p,n,p,p,p,p,p,p,p,p,p,p
283,n,p,n,p,p,p,n,p,p,n,n,p,p,n,p,n,p,n,p,p,p,p,p,n,n,p,p,p,p,p
284,p,p,p,p,p,n,p,p,p,p,p,p,p,p,p,p,p,p,p,p,n,p,p,p,p,p,p,p,p,p
285,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,n,n,p,p,p,p,p,n,p,p,p,p,p,p,n
286,p,n,p,p,p,p,n,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p
287,n,p,p,p,p,p,p,p,n,n,p,p,p,p,p,p,p,n,p,n,n,p,n,p,p,p,p,n,n,n
288,p,p,p,n,n,n,n,p,p,n,p,p,p,p,n,p,n,p,n,n,p,p,p,p,p,p,p,p,p,p
289,p,p,p,p,p,p,n,n,p,p,p,p,p,p,p,n,n,n,p,p,p,p,p,p,p,p,p,p,n,p
290,p,p,p,p,p,p,p,p,p,p,n,n,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p
291,n,p,n,p,p,p,p,n,n,p,p,p,n,p,n,p,p,n,p,p,p,p,p,p,p,p,n,p,p,n
292,p,p,n,p,p,p,p,p,p,n,p,n,p,n,p,n,p,p,p,n,p,p,p,p,p,p,p,p,p,n
293,p,n,p,p,n,p,p,p,p,p,p,p,n,n,p,p,p,p,n,p,p,p,p,n,p,p,p,n,p,p
294,p,p,p,n,p,n,p,p,n,n,p,p,p,p,p,p,p,p,p,p,n,n,n,n,p,n,p,n,p,n
295,p,n,p,p,p,p,p,p,n,p,p,p,p,n,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p
296,p,p,p,p,p,p,p,n,p,n,p,p,p,p,n,p,n,p,p,p,p,p,p,p,n,p,p,p,n,n
297,p,p,p,p,p,p,p,p,p,n,p,n,p,p,p,p,p,p,p,p,p,p,p,p,n,p,p,p,p,p
298,n,p,n,n,n,p,n,p,n,n,n,n,p,n,p,n,p,p,p,p,p,p,p,n,p,p,p,n,p,p
299,p,p,p,p,p,p,p,p,p,p,p,p,p,p,n,p,p,p,p,p,p,p,p,p,p,p,p,n,n,p
300,p,n,n,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p
301,n,p,n,p,n,p,p,p,p,p,p,n,n,p,p,p,p,p,p,p,p,n,p,p,p,p,n,n,p,n
302,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,n,p
303,p,p,n,p,p,n,p,p,n,p,p,p,n,p,n,n,n,p,n,n,p,p,p,p,n,n,p,n,p,n
304,p,n,p,p,p,p,p,p,p,n,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,n
305,p,p,p,p,p,p,p,n,p,p,p,n,p,p,p,p,p,p,n,n,p,p,p,p,n,p,p,p,p,p
306,p,p,p,n,p,p,p,n,n,p,p,p,p,p,p,n,n,p,n,p,p,p,p,p,p,p,p,p,p,p
307,p,p,p,p,p,p,n,n,p,p,p,n,p,p,p,n,n,p,p,p,n,p,n,p,p,p,p,p,n,n
308,n,p,p,p,p,n,p,p,n,n,p,p,p,p,p,p,p,p,p,p,n,p,p,p,p,p,p,p,p,p
309,p,p,p,n,p,p,n,n,p,p,p,p,p,n,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p
310,p,p,n,n,p,n,n,p,p,p,p,n,n,p,p,p,n,p,n,p,p,p,p,p,p,p,p,p,p,p
311,n,p,p,p,p,n,p,p,p,n,p,n,n,n,p,p,n,p,n,p,p,n,p,n,p,p,p,n,n,n
312,n,p,p,n,p,n,p,n,p,p,p,p,p,n,p,p,n,n,p,p,p,p,p,p,n,n,p,p,p,p
313,p,p,p,p,p,p,p,p,n,p,p,p,p,p,p,p,p,n,p,p,p,p,p,p,p,p,p,p,p,p
314,n,n,p,p,p,p,p,p,p,p,n,n,p,n,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p
315,n,p,p,n,p,p,n,p,p,p,p,p,n,p,p,n,p,p,p,p,p,p,n,p,p,p,p,p,p,p
316,n,p,p,p,p,p,p,p,p,p,p,p,p,p,p,n,p,p,p,p,p,p,p,p,p,p,p,p,p,p
317,p,p,p,p,p,p,p,p,n,p,p,p,p,n,p,p,p,p,p,n,p,p,p,n,p,n,p,p,p,p
318,p,p,p,p,p,p,p,p,n,p,p,p,p,p,p,p,n,n,p,p,p,n,n,p,p,n,p,p,p,p
319,p,p,p,p,p,p,p,p,n,p,n,p,p,p,p,p,p,p,p,p,p,p,p,p,n,p,p,p,p,p
320,p,p,p,p,n,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,n,p,p,p,p,p,p,p
321,p,p,n,p,n,p,n,p,p,n,p,p,p,p,p,n,p,p,n,p,p,p,p,p,p,p,p,p,p,p
322,p,p,n,p,n,p,p,p,p,p,n,p,n,p,p,n,p,p,p,p,p,p,p,n,p,n,p,p,p,p
323,p,n,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,n,p,p,p,p,n,p,n,p,n,p
324,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,n,p,p,n,p,p,p
325,p,p,n,p,p,p,p,p,p,n,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p
326,p,n,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,n,p,p,p,p,n,p,p,p,p
327,p,p,p,p,p,p,n,p,p,p,p,n,p,p,p,p,p,p,p,p,p,n,n,p,n,p,p,p,n,p
328,p,p,p,p,p,p,p,p,n,p,n,p,p,n,n,p,p,p,p,n,p,p,p,p,n,p,p,n,p,p
329,p,p,p,n,p,p,p,p,p,p,p,p,p,p,n,p,p,p,p,n,p,p,n,p,n,n,p,p,p,p
330,p,p,p,p,p,p,p,p,p,p,p,n,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p
331,p,p,p,p,p,p,p,p,n,n,p,p,p,p,p,p,p,p,p,n,p,p,p,p,p,p,p,p,n,n
332,p,n,p,p,p,p,p,p,p,p,p,p,n,n,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p
333,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,n,p
334,p,n,p,p,n,n,p,p,p,p,n,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p
335,n,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,n,p,p,p,p,p,p,p,p,p,p,p,p
336,p,p,p,p,n,p,p,p,p,p,n,p,p,p,p,p,p,p,p,p,p,p,n,p,p,p,n,p,p,p
337,p,p,p,p,p,p,p,n,n,p,n,p,p,n,n,n,n,p,p,p,p,n,p,n,n,p,n,p,p,p
338,p,p,p,p,p,n,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,n,p,p,p
339,p,p,p,p,p,p,p,n,p,p,p,p,p,n,p,p,n,n,p,n,n,p,p,p,n,n,p,n,n,p
340,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,n,p,n,p,p,p,n
341,p,p,p,p,p,p,n,p,p,n,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p
342,n,p,p,p,p,p,p,p,n,p,p,p,p,p,p,n,p,p,p,p,n,p,p,p,p,p,p,p,p,p
343,p,p,n,p,n,n,n,p,p,p,n,n,p,p,n,p,n,p,n,p,n,p,n,n,p,p,p,p,p,p
344,p,p,p,n,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,n
345,p,p,p,p,n,p,p,p,p,p,p,p,p,p,n,p,p,p,p,p,n,p,p,p,p,p,p,p,p,p
346,p,p,n,p,p,p,p,n,p,p,p,p,p,p,n,p,n,p,p,p,p,n,p,n,n,n,n,p,p,n
347,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,n,p,n,p,p,p,p,p,p,p,p,p,p
348,p,p,n,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,n,n,n,p,p,p,p,p,p,p,p
349,p,p,p,p,p,p,p,p,n,p,p,p,p,p,n,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p
350,p,p,p,p,p,n,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,n,p,p,n
351,n,p,p,n,p,p,p,p,n,n,n,n,p,n,p,p,p,p,p,p,p,p,p,p,p,n,p,p,n,p
352,p,p,p,p,p,p,p,p,n,p,n,p,p,p,p,p,p,p,p,p,p,p,n,p,n,p,n,p,p,p
353,p,n,p,n,p,p,p,p,n,p,p,p,p,p,p,p,p,p,n,p,p,p,p,p,p,n,p,p,p,p
354,p,n,n,p,n,p,p,p,p,p,n,p,p,p,n,p,n,n,n,p,p,p,p,n,p,p,n,p,p,p
355,n,p,n,p,n,p,p,p,p,p,p,n,p,p,p,p,p,p,p,p,p,n,n,p,p,p,n,p,p,p
356,p,p,p,n,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,n,p,p,p,p,p,p
357,p,p,p,n,p,n,p,p,p,p,p,p,p,p,p,p,p,p,p,p,n,p,p,p,p,p,p,p,p,p
358,p,p,p,p,p,p,n,p,p,p,p,p,n,p,p,p,p,n,p,p,p,p,p,p,n,p,p,n,p,p
359,p,p,p,p,p,p,p,p,p,p,p,p,p,n,p,p,n,p,p,n,p,n,p,p,p,p,p,p,n,p
360,p,p,p,p,p,n,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,n,p,p,p,p,p,p,p,p
361,p,p,p,p,p,n,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p
362,p,n,n,p,p,n,p,n,n,p,p,p,p,n,p,p,p,p,p,p,p,p,p,p,p,p,p,n,p,p
363,n,p,p,p,p,p,p,n,p,p,p,n,p,n,p,p,n,p,p,n,p,p,p,n,p,p,p,p,p,p
364,p,p,n,p,p,p,p,p,p,p,p,n,p,p,p,p,p,p,p,p,p,p,p,n,p,p,p,p,p,p
365,n,p,p,p,p,p,n,p,p,p,p,p,n,p,n,p,p,p,p,p,p,n,p,p,p,n,p,n,n,p
366,n,p,p,p,p,p,p,p,p,n,p,n,n,p,p,p,n,p,p,p,n,p,p,p,p,p,p,p,p,p
367,p,p,p,p,p,n,p,n,p,p,p,p,p,p,p,p,p,p,n,p,p,n,p,p,p,n,p,p,p,p
368,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,n,p,p,p,p,p,p,p,p,p,p,p,p
369,p,p,n,p,p,p,p,p,p,p,p,n,p,p,p,p,p,p,p,p,p,p,n,p,p,p,p,p,p,p
370,p,p,p,p,p,p,p,p,p,p,p,p,n,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p
371,p,n,n,p,p,p,p,n,p,p,p,n,p,p,p,p,p,p,p,p,p,p,n,p,p,p,p,p,p,p
372,p,p,p,p,n,p,p,p,p,p,p,n,n,n,p,p,p,p,p,p,p,p,p,n,p,n,p,n,n,p
373,p,p,p,p,p,n,p,p,p,p,p,p,p,p,p,p,p,p,p,n,p,p,p,p,p,p,p,n,n,n
374,p,p,p,p,p,p,p,n,p,p,p,p,p,p,p,p,p,n,p,p,n,p,p,p,p,n,p,p,p,n
375,p,p,p,p,n,p,n,p,p,p,p,p,p,p,p,p,p,p,p,n,p,p,p,p,p,p,p,p,n,p
376,p,p,p,n,p,n,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,n,p
377,p,p,p,p,p,p,p,p,p,p,p,n,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p
378,p,p,p,n,p,p,p,p,p,p,p,p,p,n,n,n,p,p,n,p,p,p,p,p,p,p,n,p,n,n
379,n,n,p,n,n,n,p,p,p,p,n,p,p,p,p,p,n,p,n,n,p,n,n,n,n,p,p,p,p,n
380,p,p,p,p,p,p,n,p,p,p,p,n,n,n,n,p,n,p,p,n,p,p,p,p,p,p,p,n,n,n
381,p,n,p,n,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p
382,p,p,p,n,p,p,p,p,p,p,p,p,n,p,p,p,p,p,n,p,p,p,n,n,p,p,p,n,p,n
383,p,p,n,p,n,n,p,p,n,p,p,p,p,p,p,p,p,n,p,n,p,p,p,n,p,n,n,p,p,p
384,p,p,p,p,p,p,p,p,p,n,p,p,p,p,p,p,n,p,p,p,p,p,n,p,p,p,p,p,p,p
385,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p
386,p,p,n,p,n,p,p,p,p,n,p,p,p,p,p,p,p,n,p,p,p,p,p,p,p,p,p,n,n,n
387,p,p,p,p,p,p,p,p,p,p,n,p,p,p,n,p,p,p,p,p,p,p,n,p,p,p,p,p,p,p
388,p,p,p,n,p,p,p,n,p,n,p,p,p,p,p,p,p,n,p,p,p,p,p,n,p,n,p,p,p,p
389,n,n,n,p,n,p,n,p,p,n,n,n,n,p,n,p,p,n,n,n,n,p,p,p,p,n,n,p,n,n
390,p,p,p,p,p,p,p,p,p,p,p,p,n,n,p,n,p,p,p,p,p,p,p,p,p,p,p,p,p,p
391,p,p,p,p,p,p,p,p,p,n,p,p,p,p,p,p,p,p,p,p,n,p,p,p,p,p,p,p,p,p
392,p,p,p,p,n,p,p,p,p,n,p,n,p,p,p,n,p,p,p,p,p,p,p,p,p,p,p,p,p,p
393,n,n,p,p,p,n,p,n,n,p,n,p,n,n,n,n,n,p,p,n,p,p,p,n,p,n,n,n,n,n
